Disease,County,Year,Sex,Cases,Population
Anaplasmosis,Alameda,2023,Female,0,862177
Anaplasmosis,Alameda,2023,Male,0,839026
Anaplasmosis,Alameda,2023,Total,0,1638046
Anaplasmosis,Alpine,2001,Female,0,589
Anaplasmosis,Alpine,2001,Male,0,648
Anaplasmosis,Alpine,2001,Total,0,1237
Anaplasmosis,Alpine,2002,Female,0,594
Anaplasmosis,Alpine,2002,Male,0,654
Anaplasmosis,Alpine,2002,Total,0,1248
Anaplasmosis,Alpine,2003,Female,0,596
Anaplasmosis,Alpine,2003,Male,0,653
Anaplasmosis,Alpine,2003,Total,0,1249
Anaplasmosis,Alpine,2004,Female,0,607
Anaplasmosis,Alpine,2004,Male,0,659
Anaplasmosis,Alpine,2004,Total,0,1266
Anaplasmosis,Alpine,2005,Female,0,580
Anaplasmosis,Alpine,2005,Male,0,628
Anaplasmosis,Alpine,2005,Total,0,1208
Anaplasmosis,Alpine,2006,Female,0,605
Anaplasmosis,Alpine,2006,Male,0,650
Anaplasmosis,Alpine,2006,Total,0,1255
Anaplasmosis,Alpine,2007,Female,0,599
Anaplasmosis,Alpine,2007,Male,0,649
Anaplasmosis,Alpine,2007,Total,0,1248
Anaplasmosis,Alpine,2008,Female,0,581
Anaplasmosis,Alpine,2008,Male,0,627
Anaplasmosis,Alpine,2008,Total,0,1208
Anaplasmosis,Alpine,2009,Female,0,570
Anaplasmosis,Alpine,2009,Male,0,610
Anaplasmosis,Alpine,2009,Total,0,1180
Anaplasmosis,Alpine,2010,Female,0,569
Anaplasmosis,Alpine,2010,Male,0,606
Anaplasmosis,Alpine,2010,Total,0,1175
Anaplasmosis,Alpine,2011,Female,0,570
Anaplasmosis,Alpine,2011,Male,0,600
Anaplasmosis,Alpine,2011,Total,0,1181
Anaplasmosis,Alpine,2012,Female,0,565
Anaplasmosis,Alpine,2012,Male,0,601
Anaplasmosis,Alpine,2012,Total,0,1186
Anaplasmosis,Alpine,2013,Female,0,563
Anaplasmosis,Alpine,2013,Male,0,601
Anaplasmosis,Alpine,2013,Total,0,1193
Anaplasmosis,Alpine,2014,Female,0,565
Anaplasmosis,Alpine,2014,Male,0,596
Anaplasmosis,Alpine,2014,Total,0,1199
Anaplasmosis,Alpine,2015,Female,0,564
Anaplasmosis,Alpine,2015,Male,0,590
Anaplasmosis,Alpine,2015,Total,0,1201
Anaplasmosis,Alpine,2016,Female,0,564
Anaplasmosis,Alpine,2016,Male,0,587
Anaplasmosis,Alpine,2016,Total,0,1207
Anaplasmosis,Alpine,2017,Female,0,563
Anaplasmosis,Alpine,2017,Male,0,583
Anaplasmosis,Alpine,2017,Total,0,1211
Anaplasmosis,Alpine,2018,Female,0,563
Anaplasmosis,Alpine,2018,Male,0,572
Anaplasmosis,Alpine,2018,Total,0,1208
Anaplasmosis,Alpine,2019,Female,0,554
Anaplasmosis,Alpine,2019,Male,0,569
Anaplasmosis,Alpine,2019,Total,0,1205
Anaplasmosis,Alpine,2020,Female,0,548
Anaplasmosis,Alpine,2020,Male,0,567
Anaplasmosis,Alpine,2020,Total,0,1201
Anaplasmosis,Alpine,2021,Female,0,564
Anaplasmosis,Alpine,2021,Male,0,569
Anaplasmosis,Alpine,2021,Total,0,1181
Anaplasmosis,Alpine,2022,Female,0,576
Anaplasmosis,Alpine,2022,Male,0,563
Anaplasmosis,Alpine,2022,Total,0,1175
Anaplasmosis,Alpine,2023,Female,0,578
Anaplasmosis,Alpine,2023,Male,0,576
Anaplasmosis,Alpine,2023,Total,0,1167
Anaplasmosis,Amador,2001,Female,0,16101
Anaplasmosis,Amador,2001,Male,0,19683
Anaplasmosis,Amador,2001,Total,0,35784
Anaplasmosis,Amador,2002,Female,0,16416
Anaplasmosis,Amador,2002,Male,0,20119
Anaplasmosis,Amador,2002,Total,0,36535
Anaplasmosis,Amador,2003,Female,0,16572
Anaplasmosis,Amador,2003,Male,0,20204
Anaplasmosis,Amador,2003,Total,0,36776
Anaplasmosis,Amador,2004,Female,0,16732
Anaplasmosis,Amador,2004,Male,0,20415
Anaplasmosis,Amador,2004,Total,0,37147
Anaplasmosis,Amador,2005,Female,0,16990
Anaplasmosis,Amador,2005,Male,0,20732
Anaplasmosis,Amador,2005,Total,0,37722
Anaplasmosis,Amador,2006,Female,0,17119
Anaplasmosis,Amador,2006,Male,0,20845
Anaplasmosis,Amador,2006,Total,0,37964
Anaplasmosis,Amador,2007,Female,0,17207
Anaplasmosis,Amador,2007,Male,0,20878
Anaplasmosis,Amador,2007,Total,0,38085
Anaplasmosis,Amador,2008,Female,0,17163
Anaplasmosis,Amador,2008,Male,0,20701
Anaplasmosis,Amador,2008,Total,0,37864
Anaplasmosis,Amador,2009,Female,0,17197
Anaplasmosis,Amador,2009,Male,0,20708
Anaplasmosis,Amador,2009,Total,0,37905
Anaplasmosis,Amador,2010,Female,0,17342
Anaplasmosis,Amador,2010,Male,0,20749
Anaplasmosis,Amador,2010,Total,0,38091
Anaplasmosis,Amador,2011,Female,0,16963
Anaplasmosis,Amador,2011,Male,0,19981
Anaplasmosis,Amador,2011,Total,0,37122
Anaplasmosis,Amador,2012,Female,0,17031
Anaplasmosis,Amador,2012,Male,0,19551
Anaplasmosis,Amador,2012,Total,0,36903
Anaplasmosis,Amador,2013,Female,0,16855
Anaplasmosis,Amador,2013,Male,0,19243
Anaplasmosis,Amador,2013,Total,0,36561
Anaplasmosis,Amador,2014,Female,0,16922
Anaplasmosis,Amador,2014,Male,0,19402
Anaplasmosis,Amador,2014,Total,0,36930
Anaplasmosis,Amador,2015,Female,0,16892
Anaplasmosis,Amador,2015,Male,0,19276
Anaplasmosis,Amador,2015,Total,0,36905
Anaplasmosis,Amador,2016,Female,0,16954
Anaplasmosis,Amador,2016,Male,0,19680
Anaplasmosis,Amador,2016,Total,0,37929
Anaplasmosis,Amador,2017,Female,0,17205
Anaplasmosis,Amador,2017,Male,0,19920
Anaplasmosis,Amador,2017,Total,0,38549
Anaplasmosis,Amador,2018,Female,0,17189
Anaplasmosis,Amador,2018,Male,0,20586
Anaplasmosis,Amador,2018,Total,0,40038
Anaplasmosis,Amador,2019,Female,0,17147
Anaplasmosis,Amador,2019,Male,0,20577
Anaplasmosis,Amador,2019,Total,0,40279
Anaplasmosis,Amador,2020,Female,0,17099
Anaplasmosis,Amador,2020,Male,0,20478
Anaplasmosis,Amador,2020,Total,0,40446
Anaplasmosis,Amador,2021,Female,0,17340
Anaplasmosis,Amador,2021,Male,0,20646
Anaplasmosis,Amador,2021,Total,0,40222
Anaplasmosis,Amador,2022,Female,0,17429
Anaplasmosis,Amador,2022,Male,0,20732
Anaplasmosis,Amador,2022,Total,0,40052
Anaplasmosis,Amador,2023,Female,0,17513
Anaplasmosis,Amador,2023,Male,0,20812
Anaplasmosis,Amador,2023,Total,0,40088
Anaplasmosis,Butte,2001,Female,0,104697
Anaplasmosis,Butte,2001,Male,0,101033
Anaplasmosis,Butte,2001,Total,0,205730
Anaplasmosis,Butte,2002,Female,0,105823
Anaplasmosis,Butte,2002,Male,0,102331
Anaplasmosis,Butte,2002,Total,0,208154
Anaplasmosis,Butte,2003,Female,0,106998
Anaplasmosis,Butte,2003,Male,0,103625
Anaplasmosis,Butte,2003,Total,0,210623
Anaplasmosis,Butte,2004,Female,0,107746
Anaplasmosis,Butte,2004,Male,0,104466
Anaplasmosis,Butte,2004,Total,0,212212
Anaplasmosis,Butte,2005,Female,0,108417
Anaplasmosis,Butte,2005,Male,0,105281
Anaplasmosis,Butte,2005,Total,0,213698
Anaplasmosis,Butte,2006,Female,0,109338
Anaplasmosis,Butte,2006,Male,0,106346
Anaplasmosis,Butte,2006,Total,0,215684
Anaplasmosis,Butte,2007,Female,0,110027
Anaplasmosis,Butte,2007,Male,0,107088
Anaplasmosis,Butte,2007,Total,0,217115
Anaplasmosis,Butte,2008,Female,0,110685
Anaplasmosis,Butte,2008,Male,0,107800
Anaplasmosis,Butte,2008,Total,0,218485
Anaplasmosis,Butte,2009,Female,0,110967
Anaplasmosis,Butte,2009,Male,0,108320
Anaplasmosis,Butte,2009,Total,0,219287
Anaplasmosis,Butte,2010,Female,0,111069
Anaplasmosis,Butte,2010,Male,0,108931
Anaplasmosis,Butte,2010,Total,0,220000
Anaplasmosis,Butte,2011,Female,0,111199
Anaplasmosis,Butte,2011,Male,0,109663
Anaplasmosis,Butte,2011,Total,0,222149
Anaplasmosis,Butte,2012,Female,0,111662
Anaplasmosis,Butte,2012,Male,0,110334
Anaplasmosis,Butte,2012,Total,0,224316
Anaplasmosis,Butte,2013,Female,0,111693
Anaplasmosis,Butte,2013,Male,0,110501
Anaplasmosis,Butte,2013,Total,0,225544
Anaplasmosis,Butte,2014,Female,0,112219
Anaplasmosis,Butte,2014,Male,0,111230
Anaplasmosis,Butte,2014,Total,0,227830
Anaplasmosis,Butte,2015,Female,0,112414
Anaplasmosis,Butte,2015,Male,0,111609
Anaplasmosis,Butte,2015,Total,0,229359
Anaplasmosis,Butte,2016,Female,0,112491
Anaplasmosis,Butte,2016,Male,0,111895
Anaplasmosis,Butte,2016,Total,0,230681
Anaplasmosis,Butte,2017,Female,0,113062
Anaplasmosis,Butte,2017,Male,0,112772
Anaplasmosis,Butte,2017,Total,0,233080
Anaplasmosis,Butte,2018,Female,0,113297
Anaplasmosis,Butte,2018,Male,0,113143
Anaplasmosis,Butte,2018,Total,0,234627
Anaplasmosis,Butte,2019,Female,0,107272
Anaplasmosis,Butte,2019,Male,0,107260
Anaplasmosis,Butte,2019,Total,0,226714
Anaplasmosis,Butte,2020,Female,0,103114
Anaplasmosis,Butte,2020,Male,0,103248
Anaplasmosis,Butte,2020,Total,0,210426
Anaplasmosis,Butte,2021,Female,0,113312
Anaplasmosis,Butte,2021,Male,0,113598
Anaplasmosis,Butte,2021,Total,0,206694
Anaplasmosis,Butte,2022,Female,1,113537
Anaplasmosis,Butte,2022,Male,0,114199
Anaplasmosis,Butte,2022,Total,1,206932
Anaplasmosis,Butte,2023,Female,0,113880
Anaplasmosis,Butte,2023,Male,0,114743
Anaplasmosis,Butte,2023,Total,0,207615
Anaplasmosis,Calaveras,2001,Female,0,20794
Anaplasmosis,Calaveras,2001,Male,0,20634
Anaplasmosis,Calaveras,2001,Total,0,41428
Anaplasmosis,Calaveras,2002,Female,0,21136
Anaplasmosis,Calaveras,2002,Male,0,20983
Anaplasmosis,Calaveras,2002,Total,0,42119
Anaplasmosis,Calaveras,2003,Female,0,21655
Anaplasmosis,Calaveras,2003,Male,0,21531
Anaplasmosis,Calaveras,2003,Total,0,43186
Anaplasmosis,Calaveras,2004,Female,0,22015
Anaplasmosis,Calaveras,2004,Male,0,21909
Anaplasmosis,Calaveras,2004,Total,0,43924
Anaplasmosis,Calaveras,2005,Female,0,22427
Anaplasmosis,Calaveras,2005,Male,0,22346
Anaplasmosis,Calaveras,2005,Total,0,44773
Anaplasmosis,Calaveras,2006,Female,0,22693
Anaplasmosis,Calaveras,2006,Male,0,22623
Anaplasmosis,Calaveras,2006,Total,0,45316
Anaplasmosis,Calaveras,2007,Female,0,22842
Anaplasmosis,Calaveras,2007,Male,0,22796
Anaplasmosis,Calaveras,2007,Total,0,45638
Anaplasmosis,Calaveras,2008,Female,0,22864
Anaplasmosis,Calaveras,2008,Male,0,22838
Anaplasmosis,Calaveras,2008,Total,0,45702
Anaplasmosis,Calaveras,2009,Female,0,22797
Anaplasmosis,Calaveras,2009,Male,0,22765
Anaplasmosis,Calaveras,2009,Total,0,45562
Anaplasmosis,Calaveras,2010,Female,0,22756
Anaplasmosis,Calaveras,2010,Male,0,22822
Anaplasmosis,Calaveras,2010,Total,0,45578
Anaplasmosis,Calaveras,2011,Female,0,22647
Anaplasmosis,Calaveras,2011,Male,0,22752
Anaplasmosis,Calaveras,2011,Total,0,45519
Anaplasmosis,Calaveras,2012,Female,0,22623
Anaplasmosis,Calaveras,2012,Male,0,22673
Anaplasmosis,Calaveras,2012,Total,0,45512
Anaplasmosis,Calaveras,2013,Female,0,22497
Anaplasmosis,Calaveras,2013,Male,0,22620
Anaplasmosis,Calaveras,2013,Total,0,45429
Anaplasmosis,Calaveras,2014,Female,0,22477
Anaplasmosis,Calaveras,2014,Male,0,22537
Anaplasmosis,Calaveras,2014,Total,0,45423
Anaplasmosis,Calaveras,2015,Female,0,22447
Anaplasmosis,Calaveras,2015,Male,0,22460
Anaplasmosis,Calaveras,2015,Total,0,45414
Anaplasmosis,Calaveras,2016,Female,0,22397
Anaplasmosis,Calaveras,2016,Male,0,22366
Anaplasmosis,Calaveras,2016,Total,0,45365
Anaplasmosis,Calaveras,2017,Female,0,22374
Anaplasmosis,Calaveras,2017,Male,0,22282
Anaplasmosis,Calaveras,2017,Total,0,45354
Anaplasmosis,Calaveras,2018,Female,0,22361
Anaplasmosis,Calaveras,2018,Male,0,22211
Anaplasmosis,Calaveras,2018,Total,0,45365
Anaplasmosis,Calaveras,2019,Female,0,22293
Anaplasmosis,Calaveras,2019,Male,0,22110
Anaplasmosis,Calaveras,2019,Total,0,45285
Anaplasmosis,Calaveras,2020,Female,0,22244
Anaplasmosis,Calaveras,2020,Male,0,22042
Anaplasmosis,Calaveras,2020,Total,0,45277
Anaplasmosis,Calaveras,2021,Female,0,22176
Anaplasmosis,Calaveras,2021,Male,0,21977
Anaplasmosis,Calaveras,2021,Total,0,45013
Anaplasmosis,Calaveras,2022,Female,0,22255
Anaplasmosis,Calaveras,2022,Male,0,21895
Anaplasmosis,Calaveras,2022,Total,0,44833
Anaplasmosis,Calaveras,2023,Female,0,22242
Anaplasmosis,Calaveras,2023,Male,0,21980
Anaplasmosis,Calaveras,2023,Total,0,44744
Anaplasmosis,California,2001,Female,0,17339700
Anaplasmosis,California,2001,Male,0,17173042
Anaplasmosis,California,2001,Total,0,34512742
Anaplasmosis,California,2002,Female,0,17554666
Anaplasmosis,California,2002,Male,0,17383624
Anaplasmosis,California,2002,Total,0,34938290
Anaplasmosis,California,2003,Female,0,17782868
Anaplasmosis,California,2003,Male,0,17606060
Anaplasmosis,California,2003,Total,0,35388928
Anaplasmosis,California,2004,Female,0,17968347
Anaplasmosis,California,2004,Male,0,17784418
Anaplasmosis,California,2004,Total,0,35752765
Anaplasmosis,California,2005,Female,0,18087299
Anaplasmosis,California,2005,Male,0,17898283
Anaplasmosis,California,2005,Total,0,35985582
Anaplasmosis,California,2006,Female,0,18219378
Anaplasmosis,California,2006,Male,0,18027444
Anaplasmosis,California,2006,Total,0,36246822
Anaplasmosis,California,2007,Female,0,18372905
Anaplasmosis,California,2007,Male,0,18179624
Anaplasmosis,California,2007,Total,0,36552529
Anaplasmosis,California,2008,Female,0,18525551
Anaplasmosis,California,2008,Male,0,18330671
Anaplasmosis,California,2008,Total,0,36856222
Anaplasmosis,California,2009,Female,0,18632980
Anaplasmosis,California,2009,Male,0,18444224
Anaplasmosis,California,2009,Total,0,37077204
Anaplasmosis,California,2010,Female,2,18736126
Anaplasmosis,California,2010,Male,0,18517830
Anaplasmosis,California,2010,Total,2,37253956
Anaplasmosis,California,2011,Female,2,18947379
Anaplasmosis,California,2011,Male,1,18774089
Anaplasmosis,California,2011,Total,3,37703593
Anaplasmosis,California,2012,Female,2,19126408
Anaplasmosis,California,2012,Male,2,18961601
Anaplasmosis,California,2012,Total,4,38055785
Anaplasmosis,California,2013,Female,2,19265658
Anaplasmosis,California,2013,Male,6,19123516
Anaplasmosis,California,2013,Total,8,38342642
Anaplasmosis,California,2014,Female,3,19414008
Anaplasmosis,California,2014,Male,2,19291634
Anaplasmosis,California,2014,Total,5,38644802
Anaplasmosis,California,2015,Female,3,19556518
Anaplasmosis,California,2015,Male,1,19450603
Anaplasmosis,California,2015,Total,4,38913507
Anaplasmosis,California,2016,Female,5,19673910
Anaplasmosis,California,2016,Male,1,19580429
Anaplasmosis,California,2016,Total,6,39127855
Anaplasmosis,California,2017,Female,4,19785886
Anaplasmosis,California,2017,Male,4,19702544
Anaplasmosis,California,2017,Total,8,39328926
Anaplasmosis,California,2018,Female,3,19870897
Anaplasmosis,California,2018,Male,4,19799452
Anaplasmosis,California,2018,Total,7,39476064
Anaplasmosis,California,2019,Female,1,19914771
Anaplasmosis,California,2019,Male,5,19846424
Anaplasmosis,California,2019,Total,6,39529566
Anaplasmosis,California,2020,Female,1,19930863
Anaplasmosis,California,2020,Male,6,19851556
Anaplasmosis,California,2020,Total,7,39520071
Anaplasmosis,California,2021,Female,3,20015046
Anaplasmosis,California,2021,Male,11,19938223
Anaplasmosis,California,2021,Total,14,39239553
Anaplasmosis,California,2022,Female,7,20104681
Anaplasmosis,California,2022,Male,9,20041322
Anaplasmosis,California,2022,Total,16,39028571
Anaplasmosis,California,2023,Female,10,20203669
Anaplasmosis,California,2023,Male,12,20150548
Anaplasmosis,California,2023,Total,22,38990487
Anaplasmosis,Colusa,2001,Female,0,9370
Anaplasmosis,Colusa,2001,Male,0,9698
Anaplasmosis,Colusa,2001,Total,0,19068
Anaplasmosis,Colusa,2002,Female,0,9515
Anaplasmosis,Colusa,2002,Male,0,9876
Anaplasmosis,Colusa,2002,Total,0,19391
Anaplasmosis,Colusa,2003,Female,0,9661
Anaplasmosis,Colusa,2003,Male,0,10024
Anaplasmosis,Colusa,2003,Total,0,19685
Anaplasmosis,Colusa,2004,Female,0,9891
Anaplasmosis,Colusa,2004,Male,0,10293
Anaplasmosis,Colusa,2004,Total,0,20184
Anaplasmosis,Colusa,2005,Female,0,10072
Anaplasmosis,Colusa,2005,Male,0,10493
Anaplasmosis,Colusa,2005,Total,0,20565
Anaplasmosis,Colusa,2006,Female,0,10228
Anaplasmosis,Colusa,2006,Male,0,10665
Anaplasmosis,Colusa,2006,Total,0,20893
Anaplasmosis,Colusa,2007,Female,0,10337
Anaplasmosis,Colusa,2007,Male,0,10782
Anaplasmosis,Colusa,2007,Total,0,21119
Anaplasmosis,Colusa,2008,Female,0,10363
Anaplasmosis,Colusa,2008,Male,0,10809
Anaplasmosis,Colusa,2008,Total,0,21172
Anaplasmosis,Colusa,2009,Female,0,10373
Anaplasmosis,Colusa,2009,Male,0,10897
Anaplasmosis,Colusa,2009,Total,0,21270
Anaplasmosis,Colusa,2010,Female,0,10407
Anaplasmosis,Colusa,2010,Male,0,11012
Anaplasmosis,Colusa,2010,Total,0,21419
Anaplasmosis,Colusa,2011,Female,0,10393
Anaplasmosis,Colusa,2011,Male,0,10999
Anaplasmosis,Colusa,2011,Total,0,21356
Anaplasmosis,Colusa,2012,Female,0,10438
Anaplasmosis,Colusa,2012,Male,0,11033
Anaplasmosis,Colusa,2012,Total,0,21406
Anaplasmosis,Colusa,2013,Female,0,10461
Anaplasmosis,Colusa,2013,Male,0,11096
Anaplasmosis,Colusa,2013,Total,0,21464
Anaplasmosis,Colusa,2014,Female,0,10447
Anaplasmosis,Colusa,2014,Male,0,11089
Anaplasmosis,Colusa,2014,Total,0,21414
Anaplasmosis,Colusa,2015,Female,0,10497
Anaplasmosis,Colusa,2015,Male,0,11115
Anaplasmosis,Colusa,2015,Total,0,21455
Anaplasmosis,Colusa,2016,Female,0,10604
Anaplasmosis,Colusa,2016,Male,0,11266
Anaplasmosis,Colusa,2016,Total,0,21677
Anaplasmosis,Colusa,2017,Female,0,10694
Anaplasmosis,Colusa,2017,Male,0,11327
Anaplasmosis,Colusa,2017,Total,0,21792
Anaplasmosis,Colusa,2018,Female,0,10648
Anaplasmosis,Colusa,2018,Male,0,11310
Anaplasmosis,Colusa,2018,Total,0,21690
Anaplasmosis,Colusa,2019,Female,0,10687
Anaplasmosis,Colusa,2019,Male,0,11358
Anaplasmosis,Colusa,2019,Total,0,21745
Anaplasmosis,Colusa,2020,Female,0,10736
Anaplasmosis,Colusa,2020,Male,0,11339
Anaplasmosis,Colusa,2020,Total,0,21777
Anaplasmosis,Colusa,2021,Female,0,11100
Anaplasmosis,Colusa,2021,Male,0,11686
Anaplasmosis,Colusa,2021,Total,0,21867
Anaplasmosis,Colusa,2022,Female,0,11120
Anaplasmosis,Colusa,2022,Male,0,11752
Anaplasmosis,Colusa,2022,Total,0,21923
Anaplasmosis,Colusa,2023,Female,0,11190
Anaplasmosis,Colusa,2023,Male,0,11768
Anaplasmosis,Colusa,2023,Total,0,21970
Anaplasmosis,Contra Costa,2001,Female,0,497442
Anaplasmosis,Contra Costa,2001,Male,0,473054
Anaplasmosis,Contra Costa,2001,Total,0,970496
Anaplasmosis,Contra Costa,2002,Female,0,501572
Anaplasmosis,Contra Costa,2002,Male,0,477223
Anaplasmosis,Contra Costa,2002,Total,0,978795
Anaplasmosis,Contra Costa,2003,Female,0,507028
Anaplasmosis,Contra Costa,2003,Male,0,482677
Anaplasmosis,Contra Costa,2003,Total,0,989705
Anaplasmosis,Contra Costa,2004,Female,0,511239
Anaplasmosis,Contra Costa,2004,Male,0,486962
Anaplasmosis,Contra Costa,2004,Total,0,998201
Anaplasmosis,Contra Costa,2005,Female,0,514168
Anaplasmosis,Contra Costa,2005,Male,0,490062
Anaplasmosis,Contra Costa,2005,Total,0,1004230
Anaplasmosis,Contra Costa,2006,Female,0,517107
Anaplasmosis,Contra Costa,2006,Male,0,492997
Anaplasmosis,Contra Costa,2006,Total,0,1010104
Anaplasmosis,Contra Costa,2007,Female,0,522750
Anaplasmosis,Contra Costa,2007,Male,0,498501
Anaplasmosis,Contra Costa,2007,Total,0,1021251
Anaplasmosis,Contra Costa,2008,Female,0,528831
Anaplasmosis,Contra Costa,2008,Male,0,504461
Anaplasmosis,Contra Costa,2008,Total,0,1033292
Anaplasmosis,Contra Costa,2009,Female,0,533877
Anaplasmosis,Contra Costa,2009,Male,0,509624
Anaplasmosis,Contra Costa,2009,Total,0,1043501
Anaplasmosis,Contra Costa,2010,Female,0,537499
Anaplasmosis,Contra Costa,2010,Male,0,511526
Anaplasmosis,Contra Costa,2010,Total,0,1049025
Anaplasmosis,Contra Costa,2011,Female,0,545315
Anaplasmosis,Contra Costa,2011,Male,0,520607
Anaplasmosis,Contra Costa,2011,Total,0,1068330
Anaplasmosis,Contra Costa,2012,Female,0,551189
Anaplasmosis,Contra Costa,2012,Male,0,526983
Anaplasmosis,Contra Costa,2012,Total,0,1082513
Anaplasmosis,Contra Costa,2013,Female,0,557823
Anaplasmosis,Contra Costa,2013,Male,0,534086
Anaplasmosis,Contra Costa,2013,Total,0,1098192
Anaplasmosis,Contra Costa,2014,Female,0,563776
Anaplasmosis,Contra Costa,2014,Male,0,540729
Anaplasmosis,Contra Costa,2014,Total,0,1112733
Anaplasmosis,Contra Costa,2015,Female,1,570391
Anaplasmosis,Contra Costa,2015,Male,0,548271
Anaplasmosis,Contra Costa,2015,Total,1,1128317
Anaplasmosis,Contra Costa,2016,Female,0,576046
Anaplasmosis,Contra Costa,2016,Male,0,554483
Anaplasmosis,Contra Costa,2016,Total,0,1141566
Anaplasmosis,Contra Costa,2017,Female,0,579092
Anaplasmosis,Contra Costa,2017,Male,0,557955
Anaplasmosis,Contra Costa,2017,Total,0,1149457
Anaplasmosis,Contra Costa,2018,Female,0,582539
Anaplasmosis,Contra Costa,2018,Male,0,561779
Anaplasmosis,Contra Costa,2018,Total,0,1158017
Anaplasmosis,Contra Costa,2019,Female,0,583856
Anaplasmosis,Contra Costa,2019,Male,1,563413
Anaplasmosis,Contra Costa,2019,Total,1,1162287
Anaplasmosis,Contra Costa,2020,Female,0,585070
Anaplasmosis,Contra Costa,2020,Male,0,564730
Anaplasmosis,Contra Costa,2020,Total,0,1165556
Anaplasmosis,Contra Costa,2021,Female,0,589830
Anaplasmosis,Contra Costa,2021,Male,2,569677
Anaplasmosis,Contra Costa,2021,Total,2,1160418
Anaplasmosis,Contra Costa,2022,Female,0,594162
Anaplasmosis,Contra Costa,2022,Male,0,574132
Anaplasmosis,Contra Costa,2022,Total,0,1149586
Anaplasmosis,Contra Costa,2023,Female,0,598733
Anaplasmosis,Contra Costa,2023,Male,0,578941
Anaplasmosis,Contra Costa,2023,Total,0,1144040
Anaplasmosis,Del Norte,2001,Female,0,12253
Anaplasmosis,Del Norte,2001,Male,0,15165
Anaplasmosis,Del Norte,2001,Total,0,27418
Anaplasmosis,Del Norte,2002,Female,0,12338
Anaplasmosis,Del Norte,2002,Male,0,15277
Anaplasmosis,Del Norte,2002,Total,0,27615
Anaplasmosis,Del Norte,2003,Female,0,12453
Anaplasmosis,Del Norte,2003,Male,0,15418
